AVEN_-_34331175.23-P1P2|AVEN_+_34331211.23-P1P2++AVEN_-_34331175.23-P1P2|AVEN_+_34331211.23-P1P2,2
AZIN1_+_103876368.23-P1P2|AZIN1_-_103876164.23-P1P2++AZIN1_+_103876368.23-P1P2|AZIN1_-_103876164.23-P1P2,1
BACE2_+_42540135.23-P1P2|BACE2_+_42540283.23-P1P2++BACE2_+_42540135.23-P1P2|BACE2_+_42540283.23-P1P2,5
BBC3_-_47734192.23-P1P2|BBC3_+_47734372.23-P1P2++BBC3_-_47734192.23-P1P2|BBC3_+_47734372.23-P1P2,2
BBS9_+_33169223.23-P1P2|BBS9_+_33169228.23-P1P2++BBS9_+_33169223.23-P1P2|BBS9_+_33169228.23-P1P2,2
BCAP31_+_152989795.23-P1P2|BCAP31_+_152989855.23-P1P2++STRADB_+_202316477.23-P1P2|STRADB_-_202316674.23-P1P2,2
BCL3_+_45251993.23-P1P2|BCL3_+_45252011.23-P1P2++BCL3_+_45251993.23-P1P2|BCL3_+_45252011.23-P1P2,2
BCL9L_+_118796587.23-P1P2|BCL9L_-_118796614.23-P1P2++BCL9L_+_118796587.23-P1P2|BCL9L_-_118796614.23-P1P2,2
BFSP2_-_133118951.23-P1P2|BFSP2_+_133118957.23-P1P2++BFSP2_-_133118951.23-P1P2|BFSP2_+_133118957.23-P1P2,3
BNIP3L_+_26240653.23-P1P2|BNIP3L_+_26240657.23-P1P2++BNIP3L_+_26240653.23-P1P2|BNIP3L_+_26240657.23-P1P2,2
BPI_+_36932649.23-P1P2|BPI_+_36932636.23-P1P2++BPI_+_36932649.23-P1P2|BPI_+_36932636.23-P1P2,3
BRE_-_28113815.23-P1P2|BRE_+_28113682.23-P1P2++BRE_-_28113815.23-P1P2|BRE_+_28113682.23-P1P2,5
BRINP3_-_190446688.23-P1|BRINP3_-_190446885.23-P1++BRINP3_-_190446688.23-P1|BRINP3_-_190446885.23-P1,1
BRPF3_+_36165108.23-P1P2|BRPF3_+_36164499.23-P1P2++BRPF3_+_36165108.23-P1P2|BRPF3_+_36164499.23-P1P2,5
BUD13_-_116643492.23-P1P2|BUD13_+_116643652.23-P1P2++BUD13_-_116643492.23-P1P2|BUD13_+_116643652.23-P1P2,1
BZW1_+_201676657.23-P1P2|BZW1_-_201676648.23-P1P2++BZW1_+_201676657.23-P1P2|BZW1_-_201676648.23-P1P2,3
C11orf44_-_130542921.23-ENST00000317019.2|C11orf44_+_130542913.23-ENST00000317019.2++C11orf44_-_130542921.23-ENST00000317019.2|C11orf44_+_130542913.23-ENST00000317019.2,3
C11orf57_-_111945087.23-P1P2|C11orf57_+_111945314.23-P1P2++C11orf57_-_111945087.23-P1P2|C11orf57_+_111945314.23-P1P2,2
C15orf52_-_40633074.23-P1|C15orf52_-_40633111.23-P1++C15orf52_-_40633074.23-P1|C15orf52_-_40633111.23-P1,4
C16orf11_+_610458.23-P1P2|C16orf11_+_610610.23-P1P2++C16orf11_+_610458.23-P1P2|C16orf11_+_610610.23-P1P2,7
C16orf62_+_19567216.23-P1P2|C16orf62_-_19567090.23-P1P2++C16orf62_+_19567216.23-P1P2|C16orf62_-_19567090.23-P1P2,1
C17orf62_+_80408570.23-P1P2|C17orf62_-_80408542.23-P1P2++C17orf62_+_80408570.23-P1P2|C17orf62_-_80408542.23-P1P2,1
C1QA_-_22963175.23-P1P2|C1QA_-_22963188.23-P1P2++C1QA_-_22963175.23-P1P2|C1QA_-_22963188.23-P1P2,1
C1orf134_-_16555885.23-ENST00000375605.2|C1orf134_-_16556022.23-ENST00000375605.2++C1orf134_-_16555885.23-ENST00000375605.2|C1orf134_-_16556022.23-ENST00000375605.2,1
C1orf198_-_231004382.23-P1|C1orf198_+_231004198.23-P1++C1orf198_-_231004382.23-P1|C1orf198_+_231004198.23-P1,3
C20orf196_-_5731074.23-P1P2|C20orf196_-_5731086.23-P1P2++MRC2_+_60705091.23-P1P2|MRC2_-_60705073.23-P1P2,1
C2CD4D_-_151811235.23-P1P2|C2CD4D_-_151811079.23-P1P2++C2CD4D_-_151811235.23-P1P2|C2CD4D_-_151811079.23-P1P2,1
C2orf49_-_105954047.23-P1P2|C2orf49_-_105954050.23-P1P2++C2orf49_-_105954047.23-P1P2|C2orf49_-_105954050.23-P1P2,2
